dish_id,ingredient_id,qty,unit,optional,role
D117,I023,,,TRUE,Nebenzutat
D118,I020,,,FALSE,Hauptzutat
D118,I023,,,FALSE,Hauptzutat
D118,I050,,,FALSE,Hauptzutat
D118,I025,,,FALSE,Hauptzutat
D118,I125,,,FALSE,Hauptzutat
D118,I024,,,TRUE,Nebenzutat
D118,I052,,,TRUE,Nebenzutat
D119,I077,,,FALSE,Hauptzutat
D119,I144,,,FALSE,Hauptzutat
D119,I200,,,FALSE,Hauptzutat
D119,I031,,,FALSE,Hauptzutat
D119,I003,,,FALSE,Hauptzutat
D119,I042,,,FALSE,Hauptzutat
D119,I201,,,FALSE,Hauptzutat
D119,I013,,,TRUE,Nebenzutat
D120,I077,,,FALSE,Hauptzutat
D120,I157,,,FALSE,Hauptzutat
D120,I023,,,FALSE,Hauptzutat
D120,I002,,,FALSE,Hauptzutat
D120,I052,,,TRUE,Nebenzutat
D120,I024,,,TRUE,Nebenzutat
D120,I197,,,TRUE,Nebenzutat
D121,I077,,,FALSE,Hauptzutat
D121,I080,,,FALSE,Hauptzutat
D121,I079,,,FALSE,Hauptzutat
D121,I023,,,FALSE,Hauptzutat
D121,I125,,,FALSE,Hauptzutat
D121,I046,,,TRUE,Nebenzutat
D121,I052,,,TRUE,Nebenzutat
D122,I202,,,FALSE,Hauptzutat
D122,I077,,,FALSE,Hauptzutat
D122,I054,,,FALSE,Hauptzutat
D122,I203,,,FALSE,Hauptzutat
D122,I052,,,TRUE,Nebenzutat
D122,I013,,,TRUE,Nebenzutat
D122,I050,,,TRUE,Nebenzutat
D122,I084,,,TRUE,Nebenzutat
D122,I204,,,TRUE,Nebenzutat
D122,I205,,,TRUE,Nebenzutat
D123,I195,,,FALSE,Hauptzutat
D123,I022,,,FALSE,Hauptzutat
D123,I023,,,FALSE,Hauptzutat
D123,I162,,,TRUE,Nebenzutat
D123,I046,,,TRUE,Nebenzutat
D123,I050,,,TRUE,Nebenzutat
D123,I025,,,TRUE,Nebenzutat
D123,I196,,,TRUE,Nebenzutat
D123,I052,,,TRUE,Nebenzutat
D124,I051,,,FALSE,Hauptzutat
D124,I059,,,FALSE,Hauptzutat
D124,I002,,,FALSE,Hauptzutat
D124,I023,,,FALSE,Hauptzutat
D124,I123,,,TRUE,Nebenzutat
D124,I050,,,TRUE,Nebenzutat
D124,I052,,,TRUE,Nebenzutat
D124,I099,,,TRUE,Nebenzutat
D125,I089,,,FALSE,Hauptzutat
D125,I023,,,FALSE,Hauptzutat
D125,I046,,,FALSE,Hauptzutat
D125,I199,,,FALSE,Hauptzutat
D125,I052,,,TRUE,Nebenzutat
D125,I066,,,TRUE,Nebenzutat
D126,I031,,,FALSE,Hauptzutat
D126,I003,,,FALSE,Hauptzutat
D126,I030,,,FALSE,Hauptzutat
D126,I004,,,TRUE,Nebenzutat
D126,I107,,,TRUE,Nebenzutat
D126,I173,,,TRUE,Nebenzutat
